candidato;codigo_materia;dados_tramitacao
RONALDO_CAIADO;122110;
RONALDO_CAIADO;120242;
RONALDO_CAIADO;121797;
RONALDO_CAIADO;124929;
RONALDO_CAIADO;124395;
RONALDO_CAIADO;121550;
RONALDO_CAIADO;121559;
RONALDO_CAIADO;123823;
RONALDO_CAIADO;125334;
RONALDO_CAIADO;128412;
RONALDO_CAIADO;125527;
RONALDO_CAIADO;126271;
RONALDO_CAIADO;125448;
RONALDO_CAIADO;124547;
RONALDO_CAIADO;124198;
RONALDO_CAIADO;124545;
RONALDO_CAIADO;124194;
RONALDO_CAIADO;124750;
RONALDO_CAIADO;124201;
RONALDO_CAIADO;124189;
RONALDO_CAIADO;122778;
RONALDO_CAIADO;123182;
RONALDO_CAIADO;124016;
RONALDO_CAIADO;123561;
RONALDO_CAIADO;123824;
RONALDO_CAIADO;121440;
RONALDO_CAIADO;121431;
RONALDO_CAIADO;121499;
RONALDO_CAIADO;121481;
RONALDO_CAIADO;121438;
RONALDO_CAIADO;119688;
RONALDO_CAIADO;130828;
RONALDO_CAIADO;130883;
RONALDO_CAIADO;130423;
RONALDO_CAIADO;132676;
RONALDO_CAIADO;132660;
RONALDO_CAIADO;133440;
RONALDO_CAIADO;135047;
RONALDO_CAIADO;124444;
RONALDO_CAIADO;128023;
RONALDO_CAIADO;133303;
RONALDO_CAIADO;135056;
RONALDO_CAIADO;135048;
RONALDO_CAIADO;124743;
RONALDO_CAIADO;124762;
RONALDO_CAIADO;122688;
RONALDO_CAIADO;123737;
RONALDO_CAIADO;119875;
RONALDO_CAIADO;120457;
RONALDO_CAIADO;119666;
RONALDO_CAIADO;120645;
RONALDO_CAIADO;120810;
RONALDO_CAIADO;120389;
RONALDO_CAIADO;133624;
RONALDO_CAIADO;125070;
RONALDO_CAIADO;126848;
RONALDO_CAIADO;121071;
RONALDO_CAIADO;129346;
RONALDO_CAIADO;121296;
RONALDO_CAIADO;120353;
RONALDO_CAIADO;129887;
RONALDO_CAIADO;130961;
RONALDO_CAIADO;122641;
RONALDO_CAIADO;120360;
RONALDO_CAIADO;119874;
RONALDO_CAIADO;119671;
RONALDO_CAIADO;121425;
RONALDO_CAIADO;125305;
RONALDO_CAIADO;123069;
RONALDO_CAIADO;124542;
RONALDO_CAIADO;119682;
RONALDO_CAIADO;129211;
RONALDO_CAIADO;129926;
RONALDO_CAIADO;130213;
RONALDO_CAIADO;132562;
RONALDO_CAIADO;124981;
RONALDO_CAIADO;120202;
RONALDO_CAIADO;124978;
RONALDO_CAIADO;123763;
RONALDO_CAIADO;124543;
RONALDO_CAIADO;121435;
RONALDO_CAIADO;120939;
RONALDO_CAIADO;128523;
RONALDO_CAIADO;128563;
RONALDO_CAIADO;124206;
RONALDO_CAIADO;120635;
RONALDO_CAIADO;125060;
RONALDO_CAIADO;122964;
RONALDO_CAIADO;122046;
RONALDO_CAIADO;120772;
RONALDO_CAIADO;124655;
RONALDO_CAIADO;121488;
RONALDO_CAIADO;121436;
RONALDO_CAIADO;125057;
RONALDO_CAIADO;121399;
RONALDO_CAIADO;121041;
RONALDO_CAIADO;124454;
RONALDO_CAIADO;125969;
RONALDO_CAIADO;120518;
RONALDO_CAIADO;135043;
RONALDO_CAIADO;129616;
RONALDO_CAIADO;122082;
RONALDO_CAIADO;121020;
RONALDO_CAIADO;122995;
RONALDO_CAIADO;121637;
RONALDO_CAIADO;121581;
RONALDO_CAIADO;121081;
RONALDO_CAIADO;124456;
RONALDO_CAIADO;121129;
RONALDO_CAIADO;124197;
RONALDO_CAIADO;124192;
RONALDO_CAIADO;122734;
RONALDO_CAIADO;135055;
RONALDO_CAIADO;125093;
RONALDO_CAIADO;120462;
RONALDO_CAIADO;124151;
RONALDO_CAIADO;124200;
RONALDO_CAIADO;121483;
RONALDO_CAIADO;121310;
RONALDO_CAIADO;129615;
RONALDO_CAIADO;130039;
RONALDO_CAIADO;134063;
RONALDO_CAIADO;134453;
RONALDO_CAIADO;120641;
RONALDO_CAIADO;124180;
RONALDO_CAIADO;122890;
RONALDO_CAIADO;120255;
RONALDO_CAIADO;119876;
RONALDO_CAIADO;127101;
RONALDO_CAIADO;121684;
RONALDO_CAIADO;120557;
RONALDO_CAIADO;125401;
RONALDO_CAIADO;128290;
RONALDO_CAIADO;125777;
RONALDO_CAIADO;125684;
RONALDO_CAIADO;124193;
RONALDO_CAIADO;120942;
RONALDO_CAIADO;120510;
RONALDO_CAIADO;130217;
RONALDO_CAIADO;130695;
RONALDO_CAIADO;132525;
RONALDO_CAIADO;133477;
RONALDO_CAIADO;133749;
RONALDO_CAIADO;123965;
RONALDO_CAIADO;120812;
RONALDO_CAIADO;124764;
RONALDO_CAIADO;123916;
RONALDO_CAIADO;121570;
RONALDO_CAIADO;121203;
RONALDO_CAIADO;120419;
RONALDO_CAIADO;119952;
RONALDO_CAIADO;129565;
RONALDO_CAIADO;131089;
RONALDO_CAIADO;132566;
RONALDO_CAIADO;121419;
RONALDO_CAIADO;119870;
RONALDO_CAIADO;121678;
RONALDO_CAIADO;120352;
RONALDO_CAIADO;125207;
RONALDO_CAIADO;128516;
RONALDO_CAIADO;128853;
RONALDO_CAIADO;130407;
RONALDO_CAIADO;122349;
RONALDO_CAIADO;121779;
RONALDO_CAIADO;133471;
RONALDO_CAIADO;122911;
RONALDO_CAIADO;122312;
RONALDO_CAIADO;121482;
RONALDO_CAIADO;127845;
RONALDO_CAIADO;129807;
RONALDO_CAIADO;119890;
RONALDO_CAIADO;134633;
RONALDO_CAIADO;124722;
RONALDO_CAIADO;124815;
RONALDO_CAIADO;119659;
RONALDO_CAIADO;119678;
RONALDO_CAIADO;125808;
RONALDO_CAIADO;122296;
RONALDO_CAIADO;122703;
RONALDO_CAIADO;121098;
RONALDO_CAIADO;123893;
RONALDO_CAIADO;129064;
RONALDO_CAIADO;124517;
RONALDO_CAIADO;124118;
RONALDO_CAIADO;121565;
RONALDO_CAIADO;121099;
RONALDO_CAIADO;120166;
RONALDO_CAIADO;123563;
RONALDO_CAIADO;121491;
RONALDO_CAIADO;129288;
RONALDO_CAIADO;129541;
